id,data
W02000102,0.493989807
W02000103,0.623548817
W02000104,0.912441107
W02000105,0.202115819
W02000106,0.11320202
W02000107,0.897166601
W02000108,0.65887089
W02000109,0.021146115
W02000110,0.890111102
W02000111,0.777989431
W02000113,0.616940834
W02000114,0.002859604
W02000116,0.551914132
W02000117,0.303652754
W02000118,0.274259772
W02000120,0.734350685
W02000122,0.302289221
W02000123,0.461646303
W02000124,0.996785788
W02000125,0.394321188
W02000126,0.325463039
W02000127,0.743598098
W02000128,0.187856576
W02000129,0.185232927
W02000130,0.45583787
W02000131,0.518464154
W02000132,0.377461361
W02000133,0.843051257
W02000134,0.121198074
W02000135,0.340606162
W02000136,0.931533659
W02000137,0.408900219
W02000138,0.19446696
W02000139,0.046219642
W02000140,0.870966032
W02000141,0.640761476
W02000142,0.006559036
W02000143,0.872783358
W02000144,0.593012886
W02000145,0.161189072
W02000146,0.095030381
W02000147,0.441937317
W02000148,0.391239077
W02000149,0.93237556
W02000151,0.17628557
W02000152,0.877403199
W02000153,0.037191465
W02000154,0.56100635
W02000156,0.385563031
W02000157,0.790860065
W02000158,0.363501392
W02000159,0.108614942
W02000160,0.624491835
W02000161,0.127607578
W02000162,0.368850088
W02000163,0.339370025
W02000164,0.363584818
W02000165,0.475893638
W02000166,0.866397193
W02000167,0.565677797
W02000168,0.41500708
W02000169,0.903691097
W02000170,0.670239746
W02000171,0.241259101
W02000172,0.895522348
W02000173,0.350968536
W02000174,0.449028809
W02000175,0.39825269
W02000176,0.427356697
W02000177,0.503284339
W02000178,0.347189344
W02000179,0.669813498
W02000180,0.515899493
W02000181,0.856577742
W02000182,0.219620446
W02000183,0.990045002
W02000184,0.144009327
W02000185,0.385868854
W02000186,0.554945951
W02000187,0.913238542
W02000188,0.885417705
W02000189,0.058502599
W02000190,0.919708371
W02000191,0.540613058
W02000192,0.990884474
W02000193,0.538960989
W02000194,0.681713695
W02000195,0.294122008
W02000196,0.174040844
W02000197,0.709829062
W02000198,0.60498
W02000200,0.213837737
W02000201,0.421548266
W02000202,0.349039053
W02000203,0.544406148
W02000204,0.050636919
W02000205,0.233369797
W02000206,0.781191288
W02000207,0.550088518
W02000208,0.414661256
W02000209,0.468890557
W02000210,0.783858606
W02000211,0.558879268
W02000212,0.949760688
W02000213,0.470479803
W02000214,0.742931791
W02000215,0.426260585
W02000216,0.64138512
W02000217,0.621994188
W02000218,0.036150862
W02000219,0.646624379
W02000220,0.688825351
W02000221,0.552179577
W02000222,0.051627699
W02000223,0.516246539
W02000224,0.184394409
W02000225,0.327164232
W02000226,0.806869144
W02000227,0.448237694
W02000228,0.890358588
W02000229,0.063044991
W02000230,0.255756969
W02000231,0.09224617
W02000232,0.880417573
W02000233,0.083964399
W02000234,0.958284017
W02000235,0.926645227
W02000236,0.002940677
W02000237,0.943943491
W02000238,0.132192223
W02000239,0.780747687
W02000240,0.542706031
W02000241,0.355853178
W02000242,0.201912831
W02000243,0.497559147
W02000244,0.741814738
W02000245,0.439376947
W02000246,0.115131692
W02000247,0.159334176
W02000248,0.307746191
W02000249,0.529776538
W02000250,0.612346766
W02000251,0.918969896
W02000252,0.828557493
W02000253,0.991463277
W02000254,0.562932074
W02000255,0.85951307
W02000256,0.307961285
W02000257,0.440052179
W02000258,0.030655124
W02000259,0.666493886
W02000260,0.95543286
W02000261,0.311487718
W02000262,0.82469341
W02000263,0.90529268
W02000264,0.492607675
W02000265,0.507585538
W02000266,0.979328243
W02000267,0.95199458
W02000268,0.891314252
W02000269,0.458890381
W02000270,0.101283552
W02000271,0.2831779
W02000272,0.760604779
W02000273,0.449375671
W02000274,0.459682858
W02000275,0.621193355
W02000276,0.955354578
W02000277,0.382040804
W02000278,0.365990204
W02000279,0.045677564
W02000280,0.500919791
W02000281,0.598913
W02000282,0.051273877
W02000284,0.771132754
W02000285,0.584635781
W02000286,0.933251499
W02000287,0.540930858
W02000288,0.422405903
W02000289,0.754909874
W02000290,0.332924429
W02000291,0.304095015
W02000292,0.100911957
W02000293,0.714298634
W02000294,0.065059167
W02000295,0.821113424
W02000296,0.780302198
W02000297,0.80280423
W02000298,0.721367135
W02000299,0.398352134
W02000300,0.719466886
W02000301,0.485963585
W02000302,0.442799453
W02000303,0.382433328
W02000304,0.743216033
W02000305,0.267805528
W02000306,0.876918127
W02000307,0.149003653
W02000308,0.769758988
W02000309,0.193077953
W02000310,0.042345814
W02000311,0.170835058
W02000312,0.501589687
W02000313,0.854748775
W02000314,0.404361851
W02000315,0.381860045
W02000316,0.772004221
W02000317,0.621620848
W02000318,0.596552635
W02000319,0.786493035
W02000320,0.587031704
W02000321,0.764118205
W02000322,0.064264447
W02000323,0.694092984
W02000324,0.861957636
W02000325,0.96806214
W02000326,0.574549664
W02000327,0.742945354
W02000328,0.377585896
W02000329,0.747314631
W02000330,0.943648748
W02000331,0.057701953
W02000332,0.8770126
W02000333,0.195696643
W02000334,0.47501584
W02000335,0.828650586
W02000336,0.851310545
W02000337,0.236454873
W02000338,0.188111759
W02000339,0.309168121
W02000340,0.030116752
W02000341,0.343720892
W02000342,0.643057414
W02000343,0.716416374
W02000344,0.537958783
W02000345,0.256924864
W02000346,0.054115214
W02000347,0.325404169
W02000348,0.209184354
W02000349,0.266370941
W02000350,0.298288115
W02000351,0.279302665
W02000352,0.259772535
W02000353,0.136591107
W02000354,0.281419173
W02000355,0.107076916
W02000356,0.834572797
W02000357,0.412406615
W02000358,0.402216556
W02000359,0.964912241
W02000360,0.371148889
W02000361,0.901789194
W02000362,0.853901074
W02000363,0.749135666
W02000364,0.767711382
W02000365,0.486209368
W02000366,0.896218125
W02000367,0.341611089
W02000368,0.559024544
W02000369,0.543987082
W02000370,0.523007407
W02000371,0.363197658
W02000372,0.463857904
W02000373,0.222196937
W02000374,0.053732252
W02000375,0.389304317
W02000376,0.540290136
W02000377,0.513949108
W02000378,0.587589779
W02000379,0.098300458
W02000380,0.673539698
W02000381,0.28856383
W02000382,0.582123794
W02000383,0.339444706
W02000384,0.945252481
W02000385,0.104049176
W02000386,0.566950427
W02000387,0.633568111
W02000388,0.573075098
W02000389,0.941287424
W02000390,0.564920871
W02000391,0.888611565
W02000392,0.588410624
W02000393,0.843111389
W02000394,0.835229307
W02000395,0.820977792
W02000396,0.694845305
W02000397,0.041586433
W02000398,0.93415004
W02000399,0.219462047
W02000400,0.279884289
W02000401,0.006840612
W02000402,0.56747103
W02000403,0.127630378
W02000404,0.853999728
W02000405,0.578324641
W02000406,0.020301109
W02000407,0.461188233
W02000408,0.14910916
W02000409,0.273592996
W02000410,0.2977912
W02000411,0.370665604
W02000412,0.903404573
W02000414,0.599223269
W02000415,0.208035526
W02000416,0.770204282
W02000417,0.994514453
W02000418,0.408207177
W02000419,0.475736342
W02000420,0.984030772
W02000421,0.790726201
W02000422,0.514577745
W02000423,0.890978849
